0 0 0 0 52.5695 325.354 1170.37 3048.34 6145.17 10031.2 13761.2 16407 17538.4 17452.3 16760.9 15873.7 14823.7 13322.8 11077.2 8191.51 5197.69 2728.57 1142.62 340.878 79.6033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 61.1486 471.647 1924.38 5515.22 12204.8 21762.1 32447.5 41826.5 47943.4 50198.6 49562.2 47562.8 45139.4 42380.8 38565.5 32916.3 25556 17605.7 10516.9 5331.17 2156.38 696.499 110.763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 66.2795 525.472 2380.78 7459.12 17870 34490.4 55245.3 75768.2 91794.4 101018 103432 101244 97085.9 92366.1 87250.5 80490.2 70638.7 57586.3 42773.1 28405.1 16578.5 8195.83 3424.2 1062.23 257.025 52.2833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 71.8657 568.829 2611.51 8576.74 21671.5 44130.1 74711.5 107494 135042 152897 160636 160327 155422 148944 142152 135260 126792 114864 98762.7 79240.2 58165 38350.6 22137.4 11138.7 4652.52 1627.62 470.435 57.6068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.3313 117.114 365.119 826.415 1437.71 2025.22 2440.26 2625.31 2543.96 2192.05 1595.04 920.978 391.871 101.876 0 0 0 0 0 0 0 0 0 0 0 0 
48.2294 511.575 2565.39 8888.23 23487.9 49764.8 87246.3 129791 167357 192048 202684 202941 197411 189617 181685 174065 166931 159107 148906 135033 116778 94286.9 69701.2 46264 27389 14109.4 6239.66 2313.61 566.089 92.0078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21.1952 109.467 352.125 902.078 1881.34 3410.97 5516.12 7916.3 10052.7 11547 12278.2 12152.1 11117.9 9131.77 6578.43 4105.74 2176.81 936.787 339.045 64.8729 0 0 0 0 0 0 0 0 0 
263.603 1945.92 7903.68 22951 51592.5 93972.3 143219 187873 217552 228980 226767 218016 207924 198515 190362 183110 176817 170865 164251 155685 143510 126032 103432 77954.9 53353.7 32546.5 17526.8 8495.5 3839.1 2098.08 1388.53 934.505 510.421 207.341 50.775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.1315 71.7983 327.353 1016.11 2441.54 4907.46 8477.27 13189.6 18964.8 25149.9 30508.6 34284.3 36254.1 36231.5 34073.3 29537.3 23297 16661.5 10666.2 5901.29 2759.38 921.896 180.549 0 0 0 0 0 0 0 0 
944.121 5406.3 18756.9 47520.9 93604 149480 200700 234730 246830 241844 228907 214996 203305 193909 186287 179803 174386 169820 165747 161416 155414 145527 130238 109436 84935.9 59791 38014.6 22564.5 13443.8 9251.74 7126.7 5552.92 4037.38 2850.49 2058.52 1504.86 1039.33 578.34 242.068 63.4394 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.8219 150.485 608.319 1895.52 4611.87 9296.29 16215.5 25010.7 35222.9 46419 57583.1 66901.7 73540.1 77321.1 78045.2 75417.6 68691.7 58348.4 45908.2 32896.4 20753.3 11151 4657.36 1378.49 207.525 0 0 0 0 0 0 0 
2496.77 11749.7 35918.2 81335.8 143287 204364 246075 261348 254230 236801 218510 203351 191991 183392 176604 170965 166320 162661 160002 158062 156049 152317 145037 132504 114000 90803 66946.3 47271.7 33989.2 26606.9 22024.1 18178.9 14428.7 11385.9 9197.4 7464.51 5843.69 4179.44 2850.33 1955.75 1351.9 906.819 491.259 200.28 49.3249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.7103 67.7175 306.632 1078.95 2997.92 7095.97 14287.6 25016.8 38880.8 54486.1 70431.6 85865.4 99954.3 111197 119442 124815 127304 126523 121063 110283 94494.2 74549.7 52395.9 31693.7 15639.7 5932.17 1517.97 219.73 0 0 0 0 0 0 
5206.3 20951.4 57594.2 118441 189576 245808 270915 267377 247001 225547 208519 195927 186578 179149 172955 167677 163134 159257 156086 153709 152168 150924 148761 143676 133558 117621 98167.3 79712.7 65501.5 56111.5 49190.8 42776 36395 30942.2 26619.7 22725.1 18764.1 14638.8 11230.8 8772.77 6922.17 5397.64 3963.75 2949.93 2418.52 2239.63 2240.45 2242.21 2245.53 2250.15 2250.54 2232.29 2163.03 2003.34 1731.61 1348.7 899.288 483.164 194.942 46.9123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.6265 141.944 571.096 1774.16 4555.19 9969.28 19373.4 33424 51548 71860.4 91891.6 109743 124840 137367 146971 154563 160584 165333 168543 168570 163456 151253 130423 101450 68779.3 39156.5 17865.8 6081 1405.3 148.265 0 0 0 0 0 
8959.76 31880.4 80017.3 151157 222851 267501 276239 260164 235139 215557 201555 191196 183026 176258 170509 165551 161219 157401 154051 151212 149058 147716 146948 145660 141957 134210 122780 110230 99193.5 90669.8 83476.8 76276.6 68899.2 62123.7 56116.5 50030.5 43421.4 36383.6 30274.4 25454 21372.5 17672.6 14178.9 11695.6 10386.5 9939.09 9942.59 9950 9963.93 9984.34 9992.88 9938.72 9709.12 9165.31 8231.81 6891.54 5236.49 3542.3 2122.84 1103.45 482.865 182.539 41.5497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.5144 63.8694 215.722 592.091 1453.07 3272.72 6996.36 13885.7 25048.2 41304.7 62014.5 84854.6 106678 125194 139404 149908 158052 164367 170239 176114 182461 189315 195569 199088 196544 183694 157429 119542 77855.7 41771.8 17589.2 5394.86 984.758 63.4524 0 0 0 0 
