21	11	21.2495	507.336
17	9	23.5108	474.454
14	7	24.8774	491.252
2	2	30.4881	2047.2
65	127	50.7097	313.259
16	155	61.9637	236.287
139	83	65.4294	837.857
2	161	69.414	971.987
62	128	79.6588	234.802
2	91	83.8357	223.02
2	161	87.1766	222.811
139	83	93.4258	203.524
14	7	106.117	191.722
2	2	115.664	1163.87
65	127	143.926	269.834
2	161	156.329	787.103
139	83	161.462	786.067
91	112	172.184	239.869
139	83	175.957	244.465
34	19	182.503	210.275
31	17	184.41	208.446
26	14	186.935	212.201
19	10	192.696	223.201
14	7	197.662	234.12
2	2	206.124	1158.42
84	116	233.563	252.846
129	90	243.826	213.721
139	83	248.266	837.765
69	124	261.046	232.023
2	161	270.258	213.403
14	7	287.87	202.137
2	2	296.896	1164.46
65	127	324.896	264.71
2	161	340.351	826.682
70	124	351.947	234.657
2	161	360.638	203.497
19	10	373.285	192.68
14	7	378.758	212.036
2	2	387.539	1174.95
70	124	415.302	263.754
2	161	429.72	791.352
139	83	431.201	787.001
77	120	442.602	234.449
139	83	450.285	213.242
29	16	457.064	190.471
19	10	464.082	203.006
14	7	469.402	219.792
2	2	478.09	1169.32
75	121	505.88	262.683
129	90	516.135	201.513
139	83	520.462	784.684
2	161	521.545	796.072
70	124	533.024	234.561
2	161	541.541	209.577
19	10	554.271	189.542
14	7	559.788	209.432
2	2	568.603	1175.3
65	127	596.437	263.603
2	161	611.247	807.812
