38	19	5.3569	396.867
6	3	17.8684	905.113
48	54	29.3404	240.586
9	78	41.9868	555.837
36	17	53.2121	271.701
6	3	65.1076	727.953
48	54	76.267	210.956
9	78	88.4656	527.831
36	17	99.2666	271.069
6	3	111.234	732.407
48	54	122.503	212.905
9	78	134.735	528.222
36	17	145.556	270.524
6	3	157.508	731.345
48	54	168.768	212.778
9	78	180.998	528.238
36	17	191.819	270.568
6	3	203.772	731.355
48	54	215.033	212.782
9	78	227.263	528.228
36	17	238.084	270.565
6	3	250.036	731.35
48	54	261.298	212.782
9	78	273.528	528.228
36	17	284.348	270.565
6	3	296.301	731.348
48	54	307.562	212.782
9	78	319.792	528.228
36	17	330.613	270.565
6	3	342.566	731.348
48	54	353.827	212.782
9	78	366.057	528.228
36	17	376.878	270.565
6	3	388.83	731.348
48	54	400.092	212.782
9	78	412.322	528.228
36	17	423.143	270.565
6	3	435.095	731.348
48	54	446.356	212.782
9	78	458.586	528.228
