4	5	21.7358	4595.06
76	79	38.5845	2198.2
29	100	57.24	3208.37
80	53	68.8412	2337.33
4	5	101.488	3408.42
34	50	111.364	2247.62
62	31	115.146	2142.05
77	78	126.456	2175.36
29	100	146.04	3036.87
81	55	159.131	2379.73
4	5	192.7	3359.36
33	50	203.397	2282.17
76	79	218.592	2154.2
29	100	238.191	3047
81	55	251.123	2375.83
4	5	284.581	3367.04
33	50	295.13	2277.07
77	78	310.225	2157.03
29	100	329.925	3045.71
81	55	342.878	2376.37
4	5	376.35	3366.09
33	50	386.916	2277.72
76	79	402.128	2156.66
29	100	421.711	3045.88
81	55	434.661	2376.3
4	5	468.132	3366.21
33	50	478.696	2277.63
76	79	493.908	2156.71
29	100	513.491	3045.86
81	55	526.442	2376.3
4	5	559.912	3366.2
33	50	570.477	2277.64
76	79	585.688	2156.7
29	100	605.272	3045.86
81	55	618.222	2376.3
4	5	651.693	3366.2
33	50	662.257	2277.64
76	79	677.469	2156.7
29	100	697.052	3045.86
81	55	710.003	2376.3
4	5	743.473	3366.2
33	50	754.038	2277.64
76	79	769.249	2156.7
29	100	788.833	3045.86
81	55	801.783	2376.3
4	5	835.254	3366.2
33	50	845.818	2277.64
