5903.08 9391.37 13916.2 19890 27136.8 35212.7 43997.5 53180.2 62173.4 71072.2 79217 87244.7 95275.5 103214 111539 120000 128130 135456 141148 144508 145169 142916 137874 131225 123832 116761 111055 107891 107480 109689 113304 117661 121906 124879 126524 126498 124835 122479 119685 116751 114262 111894 109903 108141 106083 104183 102351 100831 99455.8 98774.9 98569.7 98753.9 99454.2 100073 100867 101008 100977 100341 99003 97205.1 95007.7 92813.3 90975.7 90115.8 90909.3 93370.3 97414.3 102158 107162 111696 114440 115281 113736 109846 103745 95722.4 86275.2 75922.4 65075.7 54096.4 43442.3 33784.9 25211.5 18071.9 12496.1 0 
9087.62 14082 20883.1 29455.6 39592.9 51079.7 63461 76172.1 88806.9 100708 111926 122582 133180 143958 154738 165427 175801 184793 191445 195380 195700 192277 185725 176742 167159 158196 151312 147100 146733 149388 154432 159774 165069 169426 171516 171711 169662 166845 163313 160034 156865 154181 151784 149506 147028 144651 142484 140747 139526 138729 138864 139432 140458 141628 142266 142526 142150 141127 139186 136842 133603 130889 128393 127440 128512 131685 136392 142843 149550 155084 158558 159384 157290 152087 144091 133368 120891 107034 92246.6 77273.6 62818.5 49227.9 37135.2 27104.9 18800.8 0 
13149.9 20060.5 29407.6 41212.4 54976.3 70453.6 86953 104045 120386 136020 150582 164201 177858 191368 204615 217727 230030 240675 248367 252361 251742 246890 238590 227344 215541 204971 196419 191638 190948 194314 200128 206948 213730 219069 221748 222204 220346 217199 213625 209780 206485 203128 200497 197823 195440 192698 190371 188482 187502 186821 187670 188682 189913 191075 192025 192104 191584 190051 187750 184490 180823 177093 174304 173197 174293 177745 183955 191350 199142 205909 210222 210872 208019 201186 190954 177408 161650 143918 124913 105617 86280.7 68262.9 52110.3 38199.2 26950.2 0 
18073.4 27495.3 39828.3 55170.3 73209.4 93187.7 114251 135712 156547 175903 193842 210892 227367 243332 259208 274472 288528 300280 308216 311777 310291 303820 293756 280532 266892 254180 244648 239215 238291 241855 248644 256600 264329 270768 274424 275168 274130 270995 267534 263591 260006 256873 254027 251494 248850 246444 244085 242391 241706 241559 242666 244406 246070 247540 248384 248524 247801 245682 242954 239524 235305 231136 227874 226544 227541 231694 238222 246805 255512 262884 267560 267985 263858 255531 242924 226558 207178 185560 162281 138091 114193 90973.4 69948.6 51844.7 36788.2 0 
24060.5 36014.5 51516.1 70884 93296.6 117923 143652 169835 194490 217433 238831 258890 278131 296763 314595 331448 346552 358837 366875 369653 366582 358800 347084 332552 317274 303277 292600 286663 285640 289418 296435 305103 313797 321506 326148 327974 327263 325002 321890 318630 315347 312449 310007 307646 305005 302616 300785 299492 298972 299614 301458 303420 305653 307565 308593 308815 307987 305842 302961 299346 295235 291209 287353 285846 286916 291113 298126 306765 315975 323558 327925 327439 322437 312501 297673 278501 255984 230585 202936 174120 145173 116777 90673.2 67781.5 48476.1 0 
30689.7 45395.1 64273.1 87551.3 114138 143368 173440 203356 231708 257982 282494 305448 326937 347700 367264 385233 400818 412991 419818 421478 417202 408313 395181 379757 363513 348943 337798 331513 330218 333924 341077 350065 359507 368096 373687 376343 376757 375658 373497 371083 368961 366642 364753 362866 360926 358685 357146 356494 356704 358168 360560 363040 365708 367643 369278 369670 368946 367251 364551 361614 357937 353969 350603 348668 349412 353275 359818 368021 376590 384030 388035 386865 380452 368994 352346 331003 305777 276928 245641 212198 178196 144769 113346 85667.2 61866.4 0 
37582 55124.1 77309.1 104107 134751 167583 201221 234517 265802 295060 322236 347203 370733 392985 413791 432134 447522 458439 463909 464003 458558 448569 434994 419134 403113 388668 377887 371386 370096 373379 380394 389421 399135 408007 414394 418176 419910 419981 419445 418248 417325 416321 415297 414073 412771 411208 410537 410578 411826 413774 416705 419831 422628 425070 426414 427312 427196 426107 424562 422534 420034 416787 413680 412132 412360 415355 420854 428042 436068 442338 445428 443556 436175 423180 405086 382046 354554 323038 288314 250950 212342 173886 137445 104647 76287.7 0 
44711.3 64734 89730.3 119810 153350 189197 225737 261223 294856 326253 355326 382248 407377 430780 451785 469895 484189 493531 497286 495651 488964 478179 464829 449782 434663 421633 411796 406011 404463 407689 414034 422604 431929 440474 447193 451728 454623 456412 457332 457919 458482 458463 458486 458543 458137 457781 457811 458771 460745 463576 466980 470110 472850 475309 477021 478179 478769 478966 478869 478755 477772 475619 473643 471989 471709 473669 477797 483654 489958 495220 497551 494714 486639 472900 453867 429780 401023 367401 329877 289231 246357 203469 162063 124295 91520.9 0 
51356.7 73485.3 100956 133513 169252 206874 244848 282154 317329 350154 380716 409123 435383 459476 480519 498056 510381 517465 518970 515913 508023 497058 484439 470961 457906 446960 439065 434759 433740 436844 442578 450325 458491 466074 472403 477187 480916 483862 486138 488126 489833 491423 492899 494156 494996 495982 497509 499315 502422 505689 509375 512484 515004 516977 518612 520208 521280 522903 525066 526694 527729 527568 526460 525059 524340 524996 527690 531665 536473 540375 541861 538836 530711 517007 497913 473423 444045 409211 369726 325980 279716 232489 186351 143992 106657 0 
57105.7 80982.5 110465 144351 181320 219952 258891 296879 332934 366918 398882 428304 455708 480194 500727 516717 527189 531849 531296 525952 517128 506322 495159 483990 473937 465751 460580 458525 459262 462688 467853 474223 480798 486654 491524 495482 499031 502337 505371 508465 511481 514375 517315 520048 522338 524972 528245 531481 535718 539537 542941 545464 547420 548946 550077 551397 553124 556232 560258 564469 567559 569375 569543 568535 567337 567037 568221 570675 574146 577185 578444 575547 568017 555150 536830 512877 483261 447655 406678 360530 310975 259888 209593 162631 121259 0 
61498.6 86839.8 117160 151784 189322 228425 267478 305579 342155 377188 410115 440830 469023 493790 513776 528162 536353 538531 535588 528777 519147 508706 498774 490519 483898 479847 478257 479335 482242 486511 491085 495853 500238 503558 505986 507878 510053 512648 515922 519389 523251 527482 532032 536179 540725 545533 550365 555588 560786 565253 568238 569907 570762 570901 570921 571884 573653 577827 583513 589702 595218 598801 600371 599998 598974 598039 598000 599479 602301 605095 606491 604749 598753 587171 570296 547558 518341 482301 440035 391933 339324 284800 230420 179636 134237 0 
64324.4 90402.4 121133 155859 193347 232312 271119 309385 346514 382116 416077 448233 476988 501982 521221 534173 540172 539850 535063 526484 516296 506589 498412 492817 490046 490217 492811 497528 503334 508889 513271 516569 517832 517883 516797 515694 515489 516106 518489 522102 526560 531795 537578 543699 550644 557686 564984 572141 578309 583245 585965 586498 585620 583783 582223 581798 583341 587935 594550 602270 609762 615151 618277 619162 618485 617637 617353 618607 621418 624417 626753 626501 622346 612873 597920 576568 548055 511937 468752 418681 363539 305796 247921 193613 144931 0 
65514.8 91545 122208 156503 193689 232052 270754 309109 346599 383119 418406 451470 481173 506000 524572 536114 540379 538299 531642 521868 511273 502158 495515 492640 493599 497642 504675 513377 522170 529284 533953 535686 533931 529868 524779 519514 515833 514052 514850 517608 522325 528608 535679 543872 553218 562964 572600 581515 589144 594350 596399 595418 592435 588562 584667 582594 583057 587203 594255 602907 611797 618903 623988 626005 626501 626169 626671 628365 631763 635884 639397 640963 638977 631789 618824 599043 571261 535310 491138 439399 382135 321703 260895 203521 152618 0 
64827 90586.7 120616 154334 190660 228614 266855 305078 343454 380812 417109 451159 481326 506336 524304 535004 537986 534409 526786 516224 505264 496647 491441 490486 494652 502683 513257 526110 537545 546488 551365 551319 546646 538442 528858 519282 511685 506909 505489 507422 511991 518958 527595 537512 549319 561642 573686 584431 593140 598628 599802 597156 592028 585447 579063 574832 573730 577121 583900 592901 602846 611675 618273 622106 624172 625193 626764 629677 634374 639629 644730 648298 648277 643014 631900 613487 586324 550362 505518 452488 393392 330978 267998 208934 156155 0 
