0 0 0 0 0.0159754 0.174434 0.726873 2.3357 5.95634 12.3238 22.5569 36.0333 51.1171 64.6451 71.8136 69.1927 59.9216 50.0077 39.812 30.8121 22.0692 14.0993 8.09512 4.2337 1.78589 0.544088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0.0639957 0.381972 1.73874 5.19267 12.6822 26.0531 45.7897 74.31 110.162 150.447 187.037 206.53 199.245 174.701 149.116 121.528 97.2486 73.3553 51.1892 33.4971 19.7685 9.43069 3.2796 0.347362 0.0699395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0.0578874 0.526609 2.25794 7.79198 19.7682 41.856 75.6875 118.918 174.936 241.762 317.413 387.45 425.159 410.801 364.988 318.651 265.734 219.279 173.336 130.82 96.3398 65.8167 38.9531 19.0099 6.47662 2.3479 0.152221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0.0226475 0.492286 2.73347 9.51136 26.5163 57.6002 105.944 168.986 237.503 315.42 403.654 505.629 602.221 654.325 632.586 569.725 509.819 437.446 374.792 312.822 256.002 209.808 161.905 111.444 64.4902 28.2979 11.0801 1.20956 0.145707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0497118 0.286049 1.43804 4.0088 8.4636 13.3497 15.7815 14.3029 10.8931 8.30589 6.7279 6.49103 5.36717 3.68031 1.8575 0.733123 0.114852 0 0 0 0 0 0 0 0 0 0 
0 0.355429 2.61794 10.6253 30.4606 70.416 132.012 212.369 300.856 380.721 458.033 540.949 640.946 737.347 787.525 760.081 694.238 638.886 568.481 507.712 447.946 396.404 358.58 311.211 244.537 161.89 84.5746 37.9887 8.63688 3.01292 0.801911 0.142279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.107411 0.687976 2.44295 6.23718 14.4627 27.3487 45.7509 64.4647 73.7365 68.5806 58.8437 54.3234 50.8153 47.2094 36.4599 23.9896 11.9462 5.8336 1.80973 0.460753 0.0572544 0 0 0 0 0 0 0 0 
0.0482082 1.58314 8.67262 29.8075 74.925 150.302 247.541 351.184 443.896 509.286 560.796 615.959 690.319 762.463 795.048 764.349 708.04 671.948 626.404 584.527 542.73 513.695 505.678 487.153 426.671 313.159 185.868 95.6135 34.8636 19.6601 12.0804 9.27496 7.87297 6.13024 4.02523 1.91897 0.614028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0303533 0.249724 1.72638 6.35374 16.9964 34.8828 62.9481 98.5067 144.149 189.087 210.513 197.389 176.098 170.962 165.103 152.801 117.828 78.9742 42.1426 23.8322 10.2597 4.05574 1.2444 0.215647 0 0 0 0 0 0 0 
0.866392 6.96436 27.2685 76.0549 161.679 277.281 398.109 498.78 566.284 598.591 618.158 644.227 689.514 730.728 739.301 707.454 668.338 658.89 648.96 626.781 597.931 586.242 607.267 631.453 601.495 484.456 327.245 197.295 100.705 68.0096 48.6157 41.3266 37.075 31.3687 23.968 15.8613 9.51124 4.96416 2.77048 1.20615 0.369576 0.0665111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.013908 0.181927 0.793354 2.68519 9.27465 25.4957 58.2631 108.223 174.563 245.046 324.755 399.609 433.609 410.162 380.298 386.009 383.327 355.196 277.009 193.711 115.373 75.4586 40.4362 19.2553 6.92134 1.63607 0.180677 0 0 0 0 0 0 
4.18414 22.3374 71.2548 168.176 305.687 449.033 559.596 620.073 638.162 635.578 635.849 644.993 668.768 682.239 666.379 633.924 615.776 635.334 659.693 650.589 621.697 609.376 636.757 688.982 697.908 615.958 476.132 336.936 219.177 167.876 133.778 121.28 111.61 96.5241 76.6863 54.9738 37.7113 25.334 19.5575 15.6006 12.7309 10.1773 8.02293 6.92166 6.93451 8.37824 9.88857 10.8689 10.7324 9.87715 8.66862 7.07238 5.04659 2.75149 1.17183 0.183763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.130247 0.677872 2.47124 6.5989 14.8039 33.9498 72.9305 144.181 244.331 358.842 457.711 549.67 629.358 660.92 630.632 606.998 640.214 650.979 606.11 482.926 356.921 238.542 174.468 107.158 56.8354 22.9851 6.69692 1.28981 0.124794 0 0 0 0 0 
14.6533 59.7418 162.909 333.169 525.656 668.486 724.446 708.007 658.941 626.182 622.66 633.891 654.577 654.138 621.422 585.588 578.086 610.818 650.737 645.283 610.322 587.368 602.76 661.355 705.533 686.57 605.552 490.785 375.361 315.412 272.698 258.862 242.397 214.081 176.755 136.067 102.76 78.1158 66.4897 58.9798 52.2117 43.9299 35.9285 31.4638 31.0887 36.2714 41.8832 45.8585 46.0735 43.7864 39.8787 34.2927 26.9104 18.3632 11.7667 6.61054 3.90487 1.93551 0.734329 0.140222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0167272 0.307705 1.68918 5.61208 14.3512 29.3343 51.7306 90.8064 158.063 269.717 415.763 561.813 660.048 724.335 770.454 778.936 747.922 740.478 799.649 827.321 780.396 649.316 521.966 399.639 321.713 219.444 127.549 58.2966 21.4222 6.46358 1.52738 0.218732 0 0 0 0 
34.6572 123.276 305.949 568.133 809.639 923.867 895.272 784.155 661.851 600.089 592.404 609.572 634.335 628.818 587.975 548.625 543.576 575.425 614.366 611.631 578.577 551.013 554.314 605.523 669.806 708.051 689.45 611.901 516.336 464.777 428.842 422.175 400.552 359.86 307.349 252.468 207.785 175.128 161.517 154.272 144.084 126.267 107.127 95.9496 94.3256 106.426 119.864 129.833 131.147 126.513 117.429 103.564 84.5825 62.0614 44.0822 29.5672 20.9958 13.7521 7.92192 3.62871 1.39076 0.281025 0.0617113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0546923 0.25338 0.826936 2.78148 8.51499 21.8296 47.2373 85.0168 131.015 191.178 275.572 400.266 552.142 688.424 757.506 776.054 777.886 760.082 731.669 732.131 791.172 825.152 796.722 709.412 632.799 552.474 478.613 354.494 225.193 117.482 53.1636 20.7159 6.33476 1.06576 0 0 0 0 
