2592.64 4144.38 6169.72 8752.13 12081.2 15894.1 20391.6 25183.7 30220.8 35210.4 40345.8 45427.5 50810.9 56203.7 61770.4 67814.3 73862.2 79972.3 85675.3 91015.8 95331.6 98109.6 99085.4 98002.2 95470.8 91801.5 87480.3 83150.4 79556.4 77448.5 76878.4 77002 78434.6 80437.6 82244.6 83549.1 84370.9 84386.2 83974.9 83725.3 83823.8 84974.2 86994.2 90128.7 94090.3 98189.7 101782 104437 106087 106999 106900 106584 106273 106383 106463 107145 107912 108892 110213 111736 113484 115279 117542 119870 122070 124343 126701 129116 131324 133527 134784 134979 133435 129409 122784 113759 102733 89973.7 76650.3 63668.3 51254.2 39819.5 30150.6 22179.7 15800.4 0 
4223.81 6485.33 9617.2 13716.7 18577.5 24488.9 30970.6 37947.5 45026 52162.2 59335.4 66453.6 73451.7 80710.1 88090.3 95627 103322 110865 117858 124581 129585 133124 134510 133831 130773 126786 121706 116960 113427 111292 110598 111714 113877 116292 118858 120357 120737 120362 119481 118522 118127 118846 121347 125297 130339 135187 140074 143859 146382 147705 147902 147640 147193 146788 147394 148145 149371 150736 152822 155016 157607 160434 163543 166882 170549 174086 177598 180737 183838 186638 188378 188152 185359 179492 169951 157391 142144 124921 106933 89070.1 72457.3 57144.9 43575.8 32492 23332.3 0 
6345.14 9742.72 14535.8 20497.4 27828.1 36074.7 45307.9 54789.8 64623.6 74355.1 83957.4 93241.3 102452 111318 120224 129500 138536 147411 156070 163464 169199 173301 174935 174202 171226 166869 161921 157197 153753 151947 152463 154326 157530 160980 163840 165535 165773 164650 162894 161054 159829 160525 163198 167474 173249 179578 185558 190471 193802 195803 196023 195629 195064 194321 194842 195657 197396 199686 202281 205215 208985 213119 217499 222372 227392 232099 237076 241387 245645 248737 250552 249784 245283 236792 224316 207454 187306 165010 142019 119115 97558.5 77743.9 60233 45244.2 33043.7 0 
9378.57 14351.9 21206.2 29449 39522.2 50955.1 63335.8 76473.3 89615.8 102271 114450 126298 137302 148040 158354 168721 178785 188585 197622 205555 212018 215885 217933 217428 214699 210856 206179 202009 199570 199022 200785 204383 208629 213315 216906 218542 218131 216509 213672 210539 208635 208760 211205 216162 222498 229885 236888 242790 246942 249108 249491 248920 247769 247223 247280 248337 250335 253210 256473 260823 265347 270964 276916 283164 289481 296032 302067 307910 313092 316794 318378 316466 310179 298916 282360 261271 236303 208723 180243 152354 125857 101487 79426 60468.6 44664.4 0 
13321.7 20325.9 29359.9 40513.5 54036.2 69138.8 85559.9 102526 119160 135354 150358 164541 177354 189401 200615 211466 221755 231462 240404 248416 254717 258993 260886 261023 259168 256155 252948 250546 249610 250930 254838 259921 265712 271680 275698 277522 276688 273863 269931 265757 263069 262502 264597 269439 276568 284215 292332 298576 303091 305330 305580 304755 303440 302447 302714 303722 305740 309081 313243 318058 324204 330627 337998 345359 353103 360817 368464 375374 381591 385611 386750 383734 375399 360973 340653 315237 285553 253268 220029 187090 156053 127044 100766 77497.1 57803.8 0 
18034.5 27121.7 39100 53670 71076.1 90483.1 111268 132544 153264 172754 190976 207238 221431 234303 245735 256022 265546 274672 282733 289855 295757 299646 301854 302750 301870 300785 299431 299360 301324 305259 311614 318846 326374 333184 337912 339672 338256 334579 329663 324641 320969 319715 321479 326405 333328 341409 349509 355971 359887 362141 362201 361169 359713 358594 358368 358934 361113 364573 369209 374596 381162 388512 396813 405187 414156 423160 431770 439609 446321 450331 450900 446478 435938 418715 394896 365366 331776 295459 258449 221396 186241 153209 122800 95538.8 71935.2 0 
23547 35171.1 50138.9 68385 89895.7 113867 139403 165031 189876 213084 233923 251675 266710 279448 290013 299234 307253 314744 321393 327040 332449 336188 338821 340654 341617 342584 343872 347006 352142 359371 368247 378095 387488 395305 400317 401828 399893 395514 389763 384036 379937 378130 379758 384294 390925 398355 405905 411637 415183 417050 416559 415415 413600 412210 411626 412207 414083 417286 421441 427006 433595 441353 450014 459169 468756 478455 487839 495925 502755 506491 506293 500511 487821 468061 441470 409059 372071 332758 292863 252968 214543 178160 144091 113189 85885.3 0 
29561.5 43799.7 62032.9 84094.6 109885 138531 168476 198754 227637 253898 276748 295880 310955 322654 331553 338776 344564 349970 354534 359081 363597 367197 370617 373711 376720 380344 384941 391168 399753 410207 421999 434128 445050 453908 459377 460746 458693 453936 447301 441512 437127 435325 436720 440753 446697 453041 459359 463779 466525 467313 466594 465103 463091 461609 460949 461245 462942 465423 468859 473508 479476 486907 495276 504382 514259 523917 533328 541392 547601 550632 549422 542049 527699 506013 477298 442997 404292 363078 321246 279705 239225 200156 163260 129130 98726.7 0 
35655.5 52395.1 73843.8 99572.1 129489 162466 196902 231266 263628 292590 317286 336866 351115 361371 367905 372576 375816 378485 381525 384784 388666 392363 396666 401657 406877 413480 420992 430773 442685 456113 470415 484427 496645 506248 511900 513157 510986 506063 500016 494136 490266 488812 490194 493449 498487 503534 507995 510609 511831 511614 510505 509021 507271 506275 505836 506202 507214 508557 510681 513891 518493 524373 531619 539794 549172 558544 567501 574466 580044 581813 579159 570300 554570 531327 501729 466461 427116 385364 342855 300231 258760 218024 178860 142256 109196 0 
41571.7 60671.5 85025.6 114133 147786 184675 222944 260575 295913 327236 352916 372274 385392 393508 397584 399324 399707 400380 401762 404035 407903 412511 418100 424656 432386 441693 452485 465386 480164 496006 511834 527366 540252 549863 554899 556292 553969 549424 544049 539309 536215 535693 537360 540397 543969 547305 549858 550467 550074 549075 547551 546402 545903 546038 546519 547021 547164 547295 547291 548289 550157 553811 559261 566125 574065 582298 589907 596029 599939 600346 596160 585877 568982 545012 514943 479799 440660 399324 357010 314227 271996 230362 189915 151497 116421 0 
46523 67867.9 94699 126732 163343 203308 244458 284967 322398 355172 381188 399974 411813 417869 419431 418456 416578 415281 415435 417520 421749 427276 434279 442926 453041 464872 478408 493899 511082 528416 545341 561109 573671 582804 587483 588233 586177 582088 577870 574556 573323 573593 576153 579313 581973 583624 584024 582342 580611 578397 577202 577295 578139 580210 582316 583308 582734 581254 579067 577333 575810 576568 579377 584262 590326 597128 603476 607739 610393 608755 603022 591342 573569 549043 518978 484195 445949 405431 363733 321231 278773 236715 195404 156169 120076 0 
50724.4 73597 102221 136431 175345 217463 260670 302971 341943 375229 401330 419372 429739 434054 433624 430531 426967 424437 424014 426043 431094 437750 446654 457102 469079 483260 499148 516689 534809 552953 569841 585086 596620 604192 607779 608392 606333 603095 600127 598725 599300 601508 605258 608489 611112 611036 609463 606051 602537 600241 599523 601133 604548 608977 613019 615194 614462 611630 606772 601377 596446 593581 593271 595246 599553 604538 609159 612169 613122 610114 602620 589692 570876 546066 516180 481897 444357 404619 363521 321474 279239 236904 195342 155965 119793 0 
53550.2 77340.9 107252 142767 182994 226366 270676 313934 353203 386854 412702 430020 439517 442521 440542 436259 431813 428643 428057 430608 436384 444291 454461 466485 480645 496672 514153 532806 551415 569407 585295 599030 608800 614500 616880 616500 614404 612182 610806 611482 614275 618661 623565 627664 629674 628791 625697 620920 616581 614150 614659 618305 624494 631912 638345 642418 641758 637441 630208 621056 612282 605465 601697 600820 602805 605826 609213 611095 610847 606384 597656 583591 563891 538629 508676 474686 437504 398227 357509 315656 273688 231487 190225 151407 115796 0 
54635.3 79010.9 109368 145382 185794 229797 274258 317306 356605 390034 415629 432564 441278 443922 441619 436888 432024 428961 428627 431539 437932 446732 457962 471323 486885 503945 522659 541910 560250 577484 591767 603382 610859 614406 614883 613747 611591 610129 610121 612906 618261 624360 631038 635886 638137 636612 632453 626855 622270 620280 622148 628351 637626 648145 657524 663060 663121 657820 647910 635644 622995 612364 604374 600782 600478 602064 604354 605492 604320 599229 589731 574655 554366 528621 498216 463885 426693 387300 346487 304728 262860 221143 180727 142916 108534 0 
54235.8 78541.9 108569 144163 184308 227466 271477 313804 352536 385259 410556 427434 436439 439103 437034 432790 428456 425427 425516 428612 435310 444812 456648 470617 486935 504887 524137 543162 561263 577090 589663 598950 603845 605280 603818 601457 599208 598366 599622 604004 611244 619372 627597 633443 636004 634532 630197 624424 619647 618371 622131 630451 642823 656429 668527 675998 676327 670633 658936 643434 627227 612605 601329 594809 592259 592420 594287 595193 593921 588923 579058 563774 542895 516522 485390 450344 412521 372591 331429 289452 247837 206967 167810 131474 99152.1 0 
52419.9 75788.8 105075 139651 178555 220190 262685 303828 341385 373423 398283 415582 425285 428866 427906 424418 420959 418442 418523 421913 428202 437392 449525 463826 480199 498351 517692 536453 553617 568285 578847 586094 588661 587988 584900 581514 578889 578384 580788 586509 594840 604484 613813 620555 623858 622640 618459 612824 608646 608168 613378 624099 638611 655103 669396 678450 679585 673666 660457 642725 623411 605505 591181 581843 577510 576724 577972 579241 578785 574314 564948 549840 528855 501949 469842 433866 395049 354526 312694 270687 229680 189987 152335 118150 88088.5 0 
49156.3 71365.2 98861.7 131936 168800 208330 248773 288147 324011 355139 379750 397434 408274 413306 413729 411803 409195 407097 407355 410189 415694 424368 436032 449676 465766 483673 502519 520957 537124 550646 559873 565065 565830 563495 559255 555046 551897 551635 554569 560879 570057 580429 590597 597702 601607 600850 597333 591955 588463 589174 595612 607790 624171 642156 658260 668556 670316 664401 650512 631025 609620 589445 572605 561078 555242 553317 554689 556534 557121 553994 545807 531212 510472 483303 450782 413779 374080 332747 290840 249160 209051 170947 135309 103796 76584.1 0 
44939.9 65445 90974.7 121575 155818 192658 230598 267424 301540 331229 355584 373582 385509 392216 394477 394003 392338 390831 390845 392810 397405 404854 415410 428091 443383 460411 478420 496039 511450 523847 531894 535927 535548 532282 527584 522757 519417 519136 521831 528415 537582 547923 558231 565665 569870 569753 566377 561971 559141 560638 568051 581042 598098 616950 633864 645004 647428 641534 627407 607528 585110 563427 544864 531577 524415 522117 523296 525975 527583 526051 519543 506289 486181 459310 426624 389186 349069 307670 265995 225197 186708 150708 117910 89310.8 64930 0 
39744.6 58222.3 81295.7 109057 140287 173937 208627 242796 274470 302703 326287 344769 357538 365650 369476 370373 369622 368452 368292 369445 372798 378807 387669 399015 413091 428768 445852 462390 476618 488044 495596 499076 498164 494889 490233 485300 481746 481086 483223 489248 497959 507590 517379 524627 528740 529307 526405 522791 520871 523001 530473 543486 560687 579523 596102 606947 610000 604721 591147 571719 549461 527492 508017 493898 485763 482857 483723 486826 489802 489688 484879 473331 454405 428590 396203 359348 319769 278956 238480 199579 163352 130193 100451 74957.7 53853.4 0 
34101.1 50450.8 70613.7 95336.6 123167 153104 184350 215293 244341 270488 292846 311150 324515 333623 338412 340408 340670 339732 339227 339818 341787 346514 353342 363128 375525 389609 405139 420246 433443 444247 451149 454376 453996 451087 446901 442385 438696 437710 439339 444067 451517 460245 468981 475561 479422 479822 478075 475258 473944 476321 483785 496044 512547 530013 545640 555995 558721 554168 542213 524101 503009 481783 463151 448702 439844 436308 437000 440238 443869 445290 441866 431746 414857 390543 359609 324203 286139 247288 209010 172779 139564 109540 83450.9 61475 43597.4 0 
28477.3 42347 59790.6 80979.1 105027 131192 158564 185824 211924 235635 256594 273749 287176 296573 302371 304940 305689 305009 304196 303983 305099 308278 313927 321869 332555 344520 357854 371443 383418 393404 400274 403558 403874 401845 398400 394332 391246 389726 390584 394168 399983 406948 414122 420007 423251 423966 422366 420191 419407 421627 428671 440139 454939 470651 484814 494369 497259 493452 482995 467261 448579 429177 411623 397717 388590 384566 384695 387644 391469 393593 391562 383164 368104 345733 317478 284482 249215 213189 178257 145577 115951 89994.1 67604.6 49097.6 34329.9 0 
23063.2 34399.5 48951.2 66613.5 87013.1 109153 132534 155857 178429 199456 218132 234249 246840 256189 262225 265220 266222 265643 264607 263842 264144 266157 270326 276517 284897 295077 306205 317628 328272 337457 343870 347628 348687 347859 345434 342307 339438 337965 338021 340164 344322 349757 355609 360084 362821 363348 362456 360682 359716 362157 368128 378350 391158 404704 416510 425019 428184 425409 416379 403457 387658 371273 355669 342985 334061 329754 329138 331615 335222 337353 336090 329269 316093 296548 271184 241803 210125 178166 147252 118942 93558.8 71545.2 52964.9 37979.4 26083.5 0 
17933.9 27101.9 38596.9 52989.3 69540.5 87834.8 107238 126754 145687 163584 179696 193896 205404 214012 219678 222976 223917 223443 222481 221425 220899 222043 224854 229411 235997 243919 253003 262600 271589 279686 286070 289942 291642 291860 290316 287854 285391 283664 283105 284384 286849 290792 295157 298262 300640 301098 300140 298604 298559 300225 305459 313802 324503 335644 345646 352736 355736 353906 347181 336981 324406 310847 297845 286571 278568 273827 272760 274486 277217 279175 278253 272798 261960 245373 223677 198443 171380 143927 117934 94135.1 73111.7 55182.6 40253 28423.2 19172.3 0 
13592.5 20626.6 29601.3 40718.4 53597.1 68160.4 83621.5 99428.4 114938 129599 143049 154948 164825 172354 177490 180331 181335 180677 179541 178437 177701 177967 179973 183121 187808 194176 201147 208695 216282 223337 228957 232947 235142 235928 235266 233529 231328 229540 228713 229072 230463 232838 235820 238316 239777 240022 239208 238306 238119 239673 243848 250511 259001 267880 275925 281796 284450 283433 279188 271621 262029 251389 240983 231741 224569 220275 218625 219136 221047 222510 221876 217434 208748 195301 177396 156611 134393 112057 90828.4 71710.4 55100.6 40953.3 29544.9 20487.7 13571.1 0 
9741.55 14929.3 21720.7 30169 39941.6 50820.1 62909.1 75012.7 87148.8 98819.6 109585 119123 127142 133524 137703 140100 140733 140155 139006 137836 136957 136975 137962 139991 143641 147897 153340 159284 165136 170861 175735 179327 181652 182888 182913 181611 180046 178464 177365 177131 177602 179227 181053 182742 183501 183774 182951 182316 182204 183516 186687 191909 198248 205105 211193 215838 218192 217984 215227 210261 203436 195525 187607 180572 174622 170827 168657 168711 169671 170621 169890 166654 159738 148913 134891 118578 100931 83566.7 67129.9 52435.5 39725.2 29140.1 20783.7 14110.6 9205.39 0 
6731.72 10387.1 15207.4 21375.3 28489.3 36509.4 45261.9 54283 63412.5 72178 80425.4 87805.8 93870.2 98744.9 101989 103848 104492 104006 102969 101760 100887 100662 101103 102466 104677 107898 111641 116073 120636 125040 129079 132317 134640 135741 135862 135343 134085 132819 131674 131078 131235 131755 132903 134047 134601 134444 133954 133205 133318 134269 136659 140339 145060 150202 154741 158301 160256 160621 159064 155926 151538 146170 140371 135009 130509 127211 125112 124477 124856 125084 124710 122196 116835 108683 98026.2 85841.9 72833.6 59815.4 47633.1 36884.5 27541.8 20012.9 13919.1 9269.6 5924.07 0 
