0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 24.27 24.27 24.26 24.26 24.26 24.28 24.30 24.32 24.36 24.41 24.47 24.54 24.62 24.71 24.81 24.92 25.05 25.18 25.33 25.49 25.67 25.86 26.06 26.27 26.50 26.74 27.00 27.27 27.55 27.85 28.16 28.48 28.82 29.17 29.53 29.91 30.29 30.69 31.10 31.52 31.95 32.39 32.84 33.30 33.75 34.22 34.69 35.15 35.62 36.08 36.54 36.98 37.42 37.83 38.22 38.59 38.91 39.20 39.42 39.58 39.67 39.69 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 48.79 97.47 97.36 121.53 121.41 121.32 121.27 121.25 121.26 121.32 121.42 121.56 121.75 121.99 122.28 122.62 123.01 123.46 123.96 124.53 125.15 125.84 126.59 127.40 128.27 129.21 130.22 131.29 132.43 133.64 134.91 136.26 137.67 139.16 140.71 142.33 144.01 145.76 147.58 149.46 151.40 153.40 155.45 157.56 159.71 161.91 164.15 166.43 168.73 171.06 173.40 175.74 178.08 180.41 182.70 184.95 187.14 189.24 191.24 193.10 194.78 196.24 197.43 198.26 198.64 198.43 197.46 156.11 153.46 74.85 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 97.79 122.07 146.26 146.09 145.95 170.13 170.03 169.97 169.96 169.99 170.08 170.23 170.44 170.71 171.05 171.46 171.94 172.50 173.13 173.84 174.64 175.52 176.48 177.53 178.66 179.89 181.21 182.62 184.12 185.71 187.40 189.19 191.07 193.05 195.12 197.28 199.54 201.89 204.34 206.87 209.48 212.19 214.97 217.82 220.75 223.75 226.80 229.91 233.06 236.25 239.46 242.69 245.92 249.13 252.32 255.45 258.52 261.48 264.31 266.97 269.42 271.61 273.46 274.89 275.80 276.06 275.54 234.41 231.89 228.33 184.59 141.27 32.77 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 49.12 98.09 146.81 146.61 170.80 170.64 194.80 194.67 194.58 194.53 194.53 194.59 194.70 194.88 195.13 195.45 195.84 196.32 196.88 197.52 198.26 199.08 199.99 201.00 202.10 203.30 204.61 206.01 207.52 209.13 210.85 212.67 214.60 216.64 218.78 221.04 223.40 225.86 228.44 231.11 233.89 236.77 239.74 242.81 245.96 249.20 252.52 255.91 259.36 262.87 266.43 270.02 273.63 277.26 280.87 284.47 288.01 291.49 294.86 298.11 301.18 304.04 306.63 308.89 310.72 312.04 312.72 312.61 311.56 309.37 266.29 261.32 215.86 207.19 126.33 57.34 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 98.33 147.22 171.46 171.24 195.41 195.23 195.08 219.26 219.17 219.13 219.15 219.22 219.36 219.58 219.87 220.24 220.70 221.24 221.88 222.61 223.44 224.37 225.40 226.54 227.79 229.15 230.61 232.20 233.89 235.71 237.64 239.69 241.86 244.15 246.56 249.08 251.73 254.50 257.38 260.38 263.49 266.71 270.04 273.47 276.99 280.61 284.31 288.09 291.94 295.84 299.79 303.78 307.78 311.79 315.78 319.73 323.62 327.42 331.09 334.60 337.90 340.93 343.63 345.92 347.71 348.88 349.30 348.79 347.18 304.52 300.03 293.60 246.05 234.90 185.37 107.99 23.42 0.00 0.00 0.00 
0.00 0.00 98.66 147.66 171.93 196.13 195.89 220.05 219.85 219.69 219.56 219.49 219.46 219.49 219.58 219.74 219.97 220.27 220.65 221.12 221.68 222.32 223.06 223.90 224.84 225.88 227.02 228.27 229.63 231.11 232.69 234.39 236.20 238.14 240.18 242.35 244.64 247.04 249.56 252.20 254.96 257.83 260.82 263.91 267.11 270.42 273.82 277.32 280.91 284.57 288.31 292.11 295.96 299.86 303.78 307.71 311.64 315.54 319.39 323.16 326.83 330.35 333.69 336.79 339.60 342.05 344.05 345.51 346.30 346.28 345.27 343.07 339.41 333.90 326.19 276.89 263.64 210.82 158.65 86.55 0.00 0.00 0.00 
0.00 49.50 123.45 147.85 172.14 196.36 220.54 220.30 220.11 244.28 244.16 244.08 244.06 244.11 244.22 244.40 244.66 245.01 245.44 245.97 246.59 247.32 248.14 249.08 250.13 251.29 252.56 253.96 255.47 257.11 258.87 260.76 262.77 264.92 267.20 269.60 272.14 274.80 277.60 280.53 283.58 286.77 290.07 293.50 297.04 300.70 304.46 308.33 312.29 316.34 320.46 324.65 328.90 333.19 337.50 341.82 346.13 350.40 354.61 358.73 362.72 366.54 370.14 373.47 376.47 379.04 381.11 382.56 383.26 383.04 381.73 379.08 374.84 328.94 320.63 309.45 257.65 204.98 153.37 106.27 32.35 0.00 0.00 
0.00 99.05 148.29 172.63 196.86 221.03 220.76 244.90 244.70 244.54 244.43 244.37 244.36 244.42 244.54 244.74 245.01 245.37 245.81 246.35 246.98 247.72 248.55 249.50 250.55 251.72 253.00 254.39 255.91 257.55 259.32 261.21 263.23 265.37 267.64 270.05 272.58 275.24 278.03 280.95 284.00 287.17 290.46 293.87 297.40 301.03 304.77 308.61 312.54 316.56 320.64 324.79 328.99 333.23 337.48 341.74 345.97 350.16 354.28 358.29 362.17 365.85 369.31 372.47 375.28 377.64 379.46 380.64 381.04 380.48 378.80 375.76 371.10 364.45 355.52 304.67 289.83 234.87 180.36 129.85 66.76 0.00 0.00 
0.00 99.17 148.45 172.79 197.04 221.21 220.95 245.10 244.91 244.77 244.67 244.62 244.63 244.70 244.83 245.04 245.33 245.69 246.15 246.70 247.34 248.08 248.92 249.87 250.93 252.10 253.39 254.79 256.31 257.96 259.72 261.61 263.63 265.77 268.05 270.45 272.98 275.63 278.42 281.33 284.37 287.53 290.81 294.20 297.71 301.33 305.05 308.86 312.77 316.75 320.80 324.91 329.07 333.26 337.46 341.66 345.83 349.94 353.98 357.90 361.67 365.25 368.57 371.59 374.24 376.42 378.05 379.01 379.16 378.34 376.38 373.06 368.15 361.39 352.35 301.58 287.09 233.17 180.81 132.47 71.40 0.00 0.00 
0.00 124.09 148.60 197.51 197.19 221.36 245.50 245.27 245.08 244.95 244.86 244.82 244.84 244.92 245.06 245.28 245.57 245.95 246.41 246.97 247.61 248.36 249.21 250.17 251.23 252.41 253.69 255.10 256.62 258.27 260.04 261.93 263.95 266.09 268.36 270.76 273.29 275.94 278.72 281.62 284.65 287.80 291.07 294.46 297.95 301.55 305.26 309.05 312.93 316.89 320.92 325.00 329.12 333.27 337.43 341.58 345.70 349.76 353.73 357.59 361.28 364.78 368.01 370.93 373.46 375.53 377.03 377.84 377.84 376.87 374.75 371.26 366.19 359.35 350.42 338.71 285.94 232.90 213.98 135.87 97.42 0.00 0.00 
